name,address
Cin̩polis Polk County & IMAX,"5500 Grandview Parkway,       Davenport,      FL      33837"
"IMAX, Kennedy Space Center","State Road 405,       Kennedy Space Center,      FL      32899"
Cobb Merritt Square 16 & IMAX,"777 East Merritt Island Causeway,       Merritt Island,      FL      32952"
Regal Crocker Park Stadium 16 & IMAX,"30147 Detroit Road,       Westlake,      OH      44145"
AMC Waterfront 22 & IMAX,"300 West Waterfront Drive,       West Homestead,      PA      15120"
Cinemark Galleria at Pittsburgh Mills & IMAX,"425 Pittsburgh Mills Circle,       Tarentum,      PA      15084"
Robert D. Lindner Family OMNIMAX� Theater,"1301 Western Avenue,       Cincinnati,      OH      45203-1138"
AMC Newport on the Levee 20 & IMAX,"I-471 at Exit 5,       Newport,      KY      41071"
Springdale 18: Cinema de Lux & IMAX,"12064 Springfield Pike,       Springdale,      OH      45246"
AMC West Chester 18 & IMAX,"9415 Civic Center Blvd,       West Chester,      OH      45069"
The Greene 14 & IMAX,"4489 Glengarry Dr,       Beavercreek,      OH      45440"
"IMAX, The Bullock Texas State History Museum","1800 N Congress Avenue,       Austin,      TX      78701"
AMC Barton Creek Square 14 & IMAX,"2901 Capital of Texas Highway,       Austin,      TX      78746"
Regal Gateway Stadium 16 & IMAX,"9700 Stonelake Blvd,       Austin,      TX      78759"
AMC Barry Woods 24 & IMAX,"8101 Roanridge Road,       Kansas City,      MO      64151"
AMC Independence 20 & IMAX,"19200 E. 39th Street S.,       Independence,      MO      64057"
AMC Legends 14 & IMAX,"1841 Village West Parkway,       Kansas City,      KS      66111"
AMC Town Center 20 & IMAX,"11701 Nall Avenue,       Leawood,      KS      66211"
AMC Studio 28 & IMAX,"12075 S Strang Line Rd.,       Olathe,      KS      66062"
"IMAX, Indiana State Museum","650 West Washington Street,       Indianapolis,      IN      46204"
AMC Showplace Indianapolis 17,"4325 South Meridian Street,       Indianapolis,      IN      46217"
AMC Castleton Square 14 & IMAX,"6020 E 82nd Street,       Indianapolis,      Indiana      46250"
AMC Showplace Traders Point 12 & IMAX,"5920 W. 86th Street,       Indianapolis,      IN      46278"
Hamilton 16 & IMAX,"13825 Norell Road,       Noblesville,      IN      46060"
AMC Lennox 24 & IMAX,"777 Kinnear Road,       Columbus,      OH      43212"
AMC Easton Town Center 30 & IMAX,"275 Easton Town Ctr,       Columbus,      OH      43219"
AMC Grove City 14 & IMAX,"4218 Buckeye Parkway,       Grove City,      OH      43123"
